MASTER_SERIES_ID,TITLE,SEAMLESS_CODE,SEAMLESS_FLAG,SERIES_TYPE,CP_CD,MCP_CD,SERS_ENDBRD_YN,VIRTUAL_DVD_FLAG,RATING,ADULT_CATEGORY_ONLY,GENRE_MAIN,SUB_GENRE,GENRE_DISPLAY,ORIGIN_TITLE,ORIGIN_TITLE_LANG,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,SEASON_NO,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,BROAD_CHANNEL,BROAD_DAY,APPLIED_SCREEN,COUNTRY_OF_ORIGIN,YEAR,MULTI_CAPTION_FLAG,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,MULTI_AUDIO_INFO,DESCRIPTION,NOTICE_DESCRIPTION
90000000010249,반짝이는 프리채널 (하),1,Y,01,00313,00313,N,N,1,N,040700,,1403,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 수요일에 업데이트 됩니다.]
언제 어디서든 누구나 쉽게 볼 수 있는 전 세계에서 가장 인기 있는 방송 시스템인 '프리☆채널' 노래",
90000000010071,불새 2020,0,N,01,00002,00002,N,N,4,N,030500,,1101,,,이현직,이유진,"홍수아,이재우,서하준,박영린,성현아,강성진",1,,,SBS,"월,화,수,목,금","TV,PHONE,PAD",KOR,,N,,N,,사랑만으로 결혼했다가 이혼한 부잣집 여자와 가난한 남자가 경제적 상황 역전 후 다시 만나게 되면서 일어나는 일을 그린 드라마,
90000000009865,밥은 먹고 다니냐?-강호동의 밥심,1,Y,01,00524,00524,N,N,4,N,050100,,1102,,,배성현,,"강호동,김신영,남창희",1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,강호동 X 둘째이모 김다비의 기름기 쫙 뺀 순도 100% 솔직·담백 살코기 토크가 온다! ‘밥심’ 밸런스를 제대로 맞춰줄 신개념 밥심 충전 토크쇼! 오직 ,
90000000009534,인생극장 브라보머니,1,Y,01,00442,00442,N,N,4,N,060000,,1103,,,,,"최재원,안연홍",1,,,TV조선,목,"TV,PHONE,PAD,PC",KOR,2020,N,,N,,전문가들이 꼭꼭 숨겨둔 가성비 높은 보장준비와 돈 버는 재테크 노하우까지! 어디서도 들을 수 없었던 보험에 관한 천기누설!,
90000000009265,용시쿠의 리얼 집사인생,1,Y,01,52401,52401,N,N,4,N,050100,,1102,,,,,,1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,"귀여운 고슴도치 루비, 루시와 페럿 제삐, 제오! 용시쿠의 리얼한 집사인생 기록기. 함께 봐요!",
90000000011580,밥이 되어라,0,N,01,00034,00034,N,N,4,N,030500,,1101,,,백호민,하청옥,"정우연,재희,권혁,강다현,조한준",1,,,MBC,"월,화,수,목,금","TV,PHONE,PAD",KOR,,N,,N,,정통 궁중요리 대가의 비법 손맛을 타고난 '영신'과 그녀를 둘러싼 주변 사람들의 갈등과 성장을 그린 드라마,
90000000012862,가시리잇고,1,Y,01,52341,52341,Y,N,4,N,030500,,1101,,,,,"찬희,박정연,이승협,지안,이정서,이동용,이정연,신윤정",1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,"우륵, 왕산악과 함께 3대 음악 천재로 알려진, 과거에서 온 27세 천재 뮤지션 '박연'과 22세 버스킹 소녀 '민유정', 과거의 악사이자 현재의 인기 아이돌 2",
90000000011464,20-21 NBA 컨퍼런스,0,N,01,00270,00270,N,N,1,N,090500,,1803,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,2020-2021 NBA 컨퍼런스,
90000000012402,미스 몬테크리스토,0,N,01,00033,00033,N,N,4,N,030500,,1101,,,박기호,정혜원,"이소연,최여진,경성환,이상보",1,,,KBS2,"월,화,수,목,금","TV,PHONE,PAD",KOR,,N,,N,,믿었던 친구들에게 죽음까지 내몰렸던 한 여인이 복수를 다짐하고 돌아와 송두리째 빼앗긴 인생을 되찾는 드라마,
90000000012541,수미산장,0,N,01,00033,00033,N,N,4,N,050100,,1102,,,"박현진,김원정","박혜영,오정,김민정,류원주,최민지,이","김수미,박명수,전진,하니,정은지",1,,,KBS2,목,"TV,PHONE,PAD",KOR,,N,,N,,"타인의 시선, 숨 막히는 스케줄을 벗어나 누구보다 나를 잘 아는 찐 팬과 함께 단 하루 휴식을 취할 수 있다면? 어렸을 적 동화책에서 본 깊은 산 속 '수",
