MASTER_CONTENT_ID,SERIES_ID,TITLE_BRIEF,CTGR_NAME,TITLE_DISPLAY_NAME,ORIGIN_TITLE,ENGLISHSUBTITLE,ENGLISHTITLE,TITLESHORT,EPISODE_NAME,EPISODE_ID,SUMMARY_LONG,SUMMARY_MEDIUM,SUMMARY_SHORT,KTRATING,RATING,GENRE_MAIN,SUB_GENRE1,SUB_GENRE2,SUB_GENRE3,SUB_GENRE4,SUB_GENRE5,DESCRIPTION,TITLESORTABLE,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,YEAR,COUNTRY_OF_ORIGIN,CONTENT_LANGUAGE,DISTRIBUTOR,PUBLISHER,LOCAL_PREMIERE_YEAR,RELEASEDATE,BROAD_CHANNEL,BROAD_DATE,KEYWORD,AUDIOLANGUAGE,VIDEOSERVICETYPE,VIDEOTYPE,INGESTERTYPE,ACTORS_LEADING,ACTORS_SUPPORTING,GENRE_DISPLAY,Detail_Genre_Display
1003174688,,모란봉 클럽 210103,종편 > TV조선 > 연예오락,모란봉 클럽 210103,,,,모란봉 클럽 210103,모란봉 클럽 210103,269,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,,,4,050100,050300,,,,,,모란봉 클럽,,,,2021,KOR,KOR,,,,,TV조선,20210103,"북한, 남한",KOR,VOD,일반,,,,11,
1003194480,,모란봉 클럽 210307,종편 > TV조선 > 연예오락,모란봉 클럽 210307,,,,모란봉 클럽 210307,모란봉 클럽 210307,276,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,,,4,050100,050300,,,,,,모란봉 클럽,,,,2021,KOR,KOR,,,,,TV조선,20210307,"북한, 남한",KOR,VOD,일반,,,,11,
1003194482,,모란봉 클럽 210321,종편 > TV조선 > 연예오락,모란봉 클럽 210321,,,,모란봉 클럽 210321,모란봉 클럽 210321,278,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,,,4,050100,050300,,,,,,모란봉 클럽,,,,2021,KOR,KOR,,,,,TV조선,20210321,"북한, 남한",KOR,VOD,일반,,,,11,
1003174690,,모란봉 클럽 210117,종편 > TV조선 > 연예오락,모란봉 클럽 210117,,,,모란봉 클럽 210117,모란봉 클럽 210117,271,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,본 회차는 방송사 요청으로 서비스 중지 되었습니다.,,,4,050100,050300,,,,,,모란봉 클럽,,,,2021,KOR,KOR,,,,,TV조선,20210117,"북한, 남한",KOR,VOD,일반,,,,11,
1003190141,,달이 뜨는 강 210215,지상파 > KBS > 드라마,달이 뜨는 강 210215,,,,달이 뜨는 강 210215,달이 뜨는 강 1회,1,연왕후와 함께 순행 길에 오른 평강은 순노부 마을에서 온협 장군의 아들 온달을 만난다.,연왕후와 함께 순행 길에 오른 평강은 순노부 마을에서 온협 장군의 아들 온달을 만난다.,,,4,030500,,,,,,,달이 뜨는 강,윤상호,한지훈,"김소현,나인우,이지훈,최유화,강하늘",,KOR,KOR,,,,,KBS2,20210215,,KOR,VOD,일반,,,,11,
1003204440,,미스 몬테크리스토 210326,지상파 > KBS > 드라마,미스 몬테크리스토 210326,,,,미스 몬테크리스토 210326,미스 몬테크리스토 30회,30,"가흔의 20억 환불 사태로 세린은 은화의 비자금을 통해 최악은 면하지만 그 손해를 오롯이 빚으로 떠안게 된다. 한편, 반품 사태로 모델로서의 위상이 땅으로 떨어진 하라는 차기작 걱정과 동시에 자신의 아들에게 접근하는 가흔이 너무나 신경 쓰인다.","가흔의 20억 환불 사태로 세린은 은화의 비자금을 통해 최악은 면하지만 그 손해를 오롯이 빚으로 떠안게 된다. 한편, 반품 사태로 모델로서의 위상이 땅으로 떨어진 하라는 차기작 걱정과 동시에 자신의 아들에게 접근하는 가흔이 너무나 신경 쓰인다.",,,4,030500,,,,,,,미스 몬테크리스토,박기호,정혜원,"이소연,최여진,경성환,이상보",,KOR,KOR,,,,,KBS2,20210326,,KOR,VOD,일반,,,,11,
1003204449,,달이 뜨는 강 210330,지상파 > KBS > 드라마,달이 뜨는 강 210330,,,,달이 뜨는 강 210330,달이 뜨는 강 14회,14,공주의 지위를 되찾은 평강과 부마로 인정받은 온달의 본격적인 황궁 생활이 시작되고. 평강은 고원표와 진비의 관계를 의심하며 이를 증명할 단서를 찾는다. 온달은 낯선 궁 생활에 위화감을 느낀다.,공주의 지위를 되찾은 평강과 부마로 인정받은 온달의 본격적인 황궁 생활이 시작되고. 평강은 고원표와 진비의 관계를 의심하며 이를 증명할 단서를 찾는다. 온달은 낯선 궁 생활에 위화감을 느낀다.,,,4,030500,,,,,,,달이 뜨는 강,윤상호,한지훈,"김소현,나인우,이지훈,최유화,강하늘",,KOR,KOR,,,,,KBS2,20210330,,KOR,VOD,일반,,,,11,
1003204442,,미스 몬테크리스토 210330,지상파 > KBS > 드라마,미스 몬테크리스토 210330,,,,미스 몬테크리스토 210330,미스 몬테크리스토 32회,32,아들 학대 영상이 급속도로 퍼지며 사면초가에 몰린 하라는 거짓 유산 연기를 하며 아이를 잃은 상실감에 벌어진 일이라고 상황을 무마시킨다. 한편 가흔은 하라의 거짓임신 증거를 확보함과 동시에 신브랜드 론칭 경쟁을 위해 하준을 이용하기로 마음먹는다.,아들 학대 영상이 급속도로 퍼지며 사면초가에 몰린 하라는 거짓 유산 연기를 하며 아이를 잃은 상실감에 벌어진 일이라고 상황을 무마시킨다. 한편 가흔은 하라의 거짓임신 증거를 확보함과 동시에 신브랜드 론칭 경쟁을 위해 하준을 이용하기로 마음먹는다.,,,4,030500,,,,,,,미스 몬테크리스토,박기호,정혜원,"이소연,최여진,경성환,이상보",,KOR,KOR,,,,,KBS2,20210330,,KOR,VOD,일반,,,,11,
1003205780,,속아도 꿈결 210330,지상파 > KBS > 드라마,속아도 꿈결 210330,,,,속아도 꿈결 210330,속아도 꿈결 2회,2,"지난밤, 상백의 아버지 종화와 오지랖 넓은 이웃 모란이 뜨겁게 포옹하는 장면을 목격했던 상백과 영혜. 진짜 재혼이라도 하시는 거 아냐?! 고민 끝에 가족회의를 소집해 형제인 상구와 민희 부부, 상민이 한자리에 모인다. 그리고 그곳에 들이닥친 종화의 폭탄선언!","지난밤, 상백의 아버지 종화와 오지랖 넓은 이웃 모란이 뜨겁게 포옹하는 장면을 목격했던 상백과 영혜. 진짜 재혼이라도 하시는 거 아냐?! 고민 끝에 가족회의를 소집해 형제인 상구와 민희 부부, 상민이 한자리에 모인다. 그리고 그곳에 들이닥친 종화의 폭탄선언!",,,4,030500,,,,,,,속아도 꿈결,김정규,여명재,"최정우,박준금,류진,박탐희,임형준,윤해영,왕지혜,함은정,박재정",,KOR,KOR,,,,,KBS1,20210330,,KOR,VOD,일반,,,,11,
1003205779,,속아도 꿈결 210329,지상파 > KBS > 드라마,속아도 꿈결 210329,,,,속아도 꿈결 210329,속아도 꿈결 1회,1,연이은 사업 실패 후 주부로 살고 있는 상백은 잃어버린 비상금을 찾기 위해 하루 종일 고군분투한다. 물리치료사로 일하는 아내 영혜와 함께 집으로 돌아오다 충격적인 장면을 목격한다.,연이은 사업 실패 후 주부로 살고 있는 상백은 잃어버린 비상금을 찾기 위해 하루 종일 고군분투한다. 물리치료사로 일하는 아내 영혜와 함께 집으로 돌아오다 충격적인 장면을 목격한다.,,,4,030500,,,,,,,속아도 꿈결,김정규,여명재,"최정우,박준금,류진,박탐희,임형준,윤해영,왕지혜,함은정,박재정",,KOR,KOR,,,,,KBS1,20210329,,KOR,VOD,일반,,,,11,
1003194087,,뉴스룸-팩트체크 3월 29일자 2021,종편 > JTBC > 시사교양,뉴스룸-팩트체크 3월 29일자 2021,,,,뉴스룸-팩트체크 3월 29일자 2021,뉴스룸-팩트체크 3월 29일자 2021,1,본 회차는 방송사의 사정으로 결방되었습니다.,본 회차는 방송사의 사정으로 결방되었습니다.,,,1,060000,,,,,,,뉴스룸-팩트체크,,,,2021,KOR,KOR,,,,,JTBC,20210329,"뉴스룸, 팩트체크, 시사",KOR,VOD,일반,,,,11,
1003206430,,부부의 발견 배우자 210330,종편 > JTBC > 시사교양,부부의 발견 배우자 210330,,,,부부의 발견 배우자 210330,"홍록기, 김아린",36,"오늘의 주인공은 홍록기X김아린 부부! 정성 가득 아내 표 고품격 어묵탕과 부부의 금쪽같은 아들 루안이! 루안이 입맛에도 좋은 어묵탕! 한편 단맛에 푹 빠진 남편, 홍록기! 남편의 로망은 달고나 만들기!? 치명적인 단맛의 유혹! 홍록기의 건강이 위험하다??","오늘의 주인공은 홍록기X김아린 부부! 정성 가득 아내 표 고품격 어묵탕과 부부의 금쪽같은 아들 루안이! 루안이 입맛에도 좋은 어묵탕! 한편 단맛에 푹 빠진 남편, 홍록기! 남편의 로망은 달고나 만들기!? 치명적인 단맛의 유혹! 홍록기의 건강이 위험하다??",,,4,060000,,,,,,,부부의 발견 배우자,,,"주영훈,이윤미",2021,KOR,KOR,,,,,JTBC,20210330,,KOR,VOD,일반,,,,11,
