SERIES_ID,MASTER_SERIES_ID,CP_CD,MCP_CD,CONTRACTID,TITLE,CTGR_NAME,TITLE_DISPLAY_NAME,TITLESHORT,TITLESORTABLE,SUMMARY_MEDIUM,SERS_ENDBRD_YN,SEASON_NO,RATING,GENRE_MAIN,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,COUNTRY_OF_ORIGIN,CONTENT_LANGUAGE,BROAD_CHANNEL,BROAD_DAY,ATTACH_VIDEO_TYPE,VIDEOSERVICETYPE,VIDEOTYPE,GENRE_DISPLAY,DETAIL_GENRE_DISPLAY,CORNER_WATCH_FLAG
60020619990000,,00352,00352,104440000,마녀의 발견 2,영화 > 캐치온,마녀의 발견 2,마녀의 발견 2,마녀의 발견 2,엘리자베스 시대 런던에서 세상을 깨울 전설의 고서 ‘생명의 책’을 손에 넣어라! 한 층 더 강력해진 마녀와 뱀파이어의 타임슬립 판타지 시리즈,N,1,4,010500,라클란 맥키넌,,매튜 구드,KOR,KOR,,,본편,VOD,일반,10,1003,N
60020600150000,90000000010968,00344,00344,101540000,설민석의 벌거벗은 세계사,CJ > TVN,설민석의 벌거벗은 세계사,설민석의 벌거벗은 세계사,설민석의 벌거벗은 세계사," 전 세계 곳곳을 온택트로 둘러보며 각 나라의 명소를 살펴보고, 다양한 관점에서 우리가 몰랐던 세계의 역사를 파헤치는 프로그램",Y,1,4,050100,,,"은지원,존박,이혜성",KOR,KOR,tvN,토,본편,VOD,일반,11,1102,N
60020383490000,81000000006305,00470,00470,112110000,판도라,종편 > MBN > 시사교양,판도라,판도라,판도라,비상식의 시대! 수술대에 오른 대한민국! 정계 원로와 각 분야의 정치 고수들이 한데 모인 판도라! 한국 정치의 민낯을 해부하고 숨겨져 있던 정치판의 비밀을 공개한다.,N,1,4,060000,방일,,최윤영,KOR,KOR,MBN,목,본편,VOD,일반,11,1103,N
60020560190000,90000000007567,00344,00344,101540000,미래수업,CJ > TVN,미래수업,미래수업,미래수업,"코로나 이후의 세상에 대해 우리 시대 석학의 지혜를 듣고, 새로운 삶의 방식을 모색해보는 강연 프로그램.",N,1,1,060000,"박지은,이지윤",,"안현모,박종화,이현숙,김누리",KOR,KOR,tvN,목,본편,VOD,일반,11,1103,N
60020479690000,81000000015038,52401,52401,210003903,리치는 못말려,CJ > DIATV,리치는 못말려,리치는 못말려,리치는 못말려,우리아빠는 조섭이개.,N,1,1,050100,,,리치,KOR,KOR,기타,월,본편,VOD,일반,11,1102,N
60020629840000,,51241,51241,210000784,(인앱상품) 핑크퐁과 호기의 댄스타임 율동 모음집,인앱 > VOD > 일반,(인앱상품) 핑크퐁과 호기의 댄스타임 율동 모음집 1화,(인앱상품) 핑크퐁과 호기의 댄스타임 율동 모음집 1화,(인앱상품) 핑크퐁과 호기의 댄스타임 율동 모음집 1화,(인앱상품) 핑크퐁과 호기의 댄스타임 율동 모음집 1화,N,1,1,140000,,,,KOR,KOR,,,본편,VOD,일반,90,9001,N
60020322020000,80000000012851,00442,00442,112090000,모란봉 클럽,종편 > TV조선 > 연예오락,모란봉 클럽,모란봉 클럽,모란봉 클럽,"[본 프로그램은 매주 일요일에 업데이트 됩니다.]
남한에서 가장 ‘독한’ 사연과 가장 ‘흥미로운’ 시선을 가지고 있는 탈북 미녀들. 세상의 끝과도 같던 북한 땅에서 남한으로 넘어온 북녀들은 지금 이 순간 어떠한 인생을 살고 있을까?",N,1,4,050100,"조승연,양영래",오유선,박미선,KOR,KOR,TV조선,토,본편,VOD,일반,11,1102,N
60020413720000,81000000007519,00498,00498,200001617,반요경성 2,시리즈 > 중드,반요경성 2,반요경성 2,반요경성 2,"[본 시리즈는 업데이트 완료되었습니다.]
경성은 만요의 왕의 책임을 다할 것을 맹세하고, 요괴들의 질서를 잡고, 자신을 강하게 단련하여 요괴들을 복종시킨다. 기억을 잃은 명하는 친한 친구 영향을 받아 퇴마사가 되고, 보이는 요괴들은 모두 죽인다.",Y,1,4,030300,"류진명,임해요",,"장철한,이일동,함청자",CHN,CHN,기타,월,본편,VOD,일반,12,1206,N
60020608190000,90000000012470,52482,52482,210004260,우리 집 이야기,시리즈 > 일드,우리 집 이야기,우리 집 이야기,우리 집 이야기,"[본 시리즈는 매주 목요일에 업데이트 될 예정입니다.]
마음이 맞지 않는다고 생각하고 떠났던 가족이 다시 모여 살기 시작하면서 귀찮음과 동시에 치솟는 사랑스러운 마음을 깨닫게 되는 이야기를 드린 홈 드라마.",N,1,4,030500,"카네코 후미노리,야마무로 다이스케,",,"나가세 토모야,토다 에리카,나가야마 켄토,에구치 노리코",JPN,JPN,기타,수,본편,VOD,일반,12,1203,N
60020628610000,,00033,00033,101570000,2021 스페셜 토크쇼 'Let's BTS',지상파 > KBS > 연예오락,2021 스페셜 토크쇼 'Let's BTS',2021 스페셜 토크쇼 'Let's BTS',2021 스페셜 토크쇼 'Let's BTS',세계 음악 시장에 놀라운 새 역사를 쓰고 있는 월드 아티스트 BTS의 밀착 정통 토크쇼! 어디서도 보지 못한 일곱 멤버들의 밀착 토크 현장과 대국민이 함께 하는 위로와 희망의 이야기가 펼쳐진다.,N,1,4,050100,"전온누리,김재원,석예림,송슬기,양만","이현희,이희진,유민영,김소영,설은지","신동엽,장도연,방탄소년단",KOR,KOR,KBS2,월,본편,VOD,일반,11,1102,N
60020585830000,90000000010108,00313,00313,200002224,오소마츠 6쌍둥이 3기(자막),애니메이션 > 애니메이션,오소마츠 6쌍둥이 3기 (자막),오소마츠 6쌍둥이 3기 (자막),오소마츠 6쌍둥이 3기(자막),"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
마츠노 가에는 똑같이 생긴 6쌍둥이가 살고 있다. 장남부터 순서대로 오소마츠, 카라마츠, 쵸로마츠, 이치마츠, 쥬시마츠, 토도마츠가 그들이다. 6쌍둥이는 얼굴은 똑같지만 개성만점의 다양한 성격을 자랑한다.
(1화를 무료로 시청하실 수 있습니다.)",N,1,5,040700,,,,KOR,KOR,,,본편,VOD,일반,14,1403,N
60020607930000,90000000011946,00313,00313,200002224,IDOLY PRIDE,애니메이션 > 애니메이션,IDOLY PRIDE,IDOLY PRIDE,IDOLY PRIDE,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
지방 도시에 위치한 연예 기획사에 아이돌 데뷔를 목표로 모인 소녀들의 이야기
(1화를 무료로 시청하실 수 있습니다.)",N,1,4,041500,,,,KOR,KOR,,,본편,VOD,일반,14,1404,N
60020607910000,90000000012720,00313,00313,200002224,가면라이더 제로원,애니메이션 > 애니메이션,가면라이더 제로원,가면라이더 제로원,가면라이더 제로원,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
AI 로봇이 실용화된 세계를 무대로, 인공지능 기술을 둘러싼 싸움에 맞서는 가면라이더의 이야기
(1화를 무료로 시청하실 수 있습니다.)",N,1,3,040100,,,,KOR,KOR,,,본편,VOD,일반,14,1401,N
60020606620000,90000000011944,00274,00274,200002409,마술사 오펜 뜻밖의 여행 킴라크편,애니메이션 > 애니메이션,마술사 오펜 뜻밖의 여행 킴라크편,마술사 오펜 뜻밖의 여행 킴라크편,마술사 오펜 뜻밖의 여행 킴라크편,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
이번 무대는 마술사 근절을 교의로 하는 킴라크교의 '성도' 킴라크. 오펜은 아자리와 결착을 짓기 위해 아자리는 스승 차일드맨의 유지를 잇기 위해 세계의 비밀을 좇아 킴라크로 향한다. 하지만 그들의 앞에는 '죽음의 교사'와의 처절한 싸움이 기다리고 있었다.
(1화를 무료로 시청하실 수 있습니다.)",N,1,5,040100,,,,KOR,KOR,,,본편,VOD,일반,14,1401,N
